frame,processing_ms,deadline_ms,deadline_missed
0,14.710884,10.000000,1
1,14.764254,10.000000,1
2,14.322567,10.000000,1
3,15.643186,10.000000,1
4,15.505241,10.000000,1
5,14.710866,10.000000,1
6,14.600494,10.000000,1
7,14.660013,10.000000,1
8,14.501790,10.000000,1
9,14.749865,10.000000,1
10,14.786662,10.000000,1
11,14.323881,10.000000,1
12,14.397975,10.000000,1
13,14.609402,10.000000,1
14,14.373827,10.000000,1
15,15.127127,10.000000,1
16,14.608587,10.000000,1
17,14.738643,10.000000,1
18,14.530827,10.000000,1
19,14.524568,10.000000,1
20,14.417567,10.000000,1
21,14.760236,10.000000,1
22,14.553994,10.000000,1
23,14.871514,10.000000,1
24,14.305067,10.000000,1
25,14.828459,10.000000,1
26,14.247233,10.000000,1
27,14.587291,10.000000,1
28,14.830551,10.000000,1
29,14.621643,10.000000,1
30,14.414882,10.000000,1
31,14.584623,10.000000,1
32,14.928848,10.000000,1
33,14.501809,10.000000,1
34,14.413808,10.000000,1
35,14.660883,10.000000,1
36,14.458179,10.000000,1
37,14.198196,10.000000,1
38,14.727569,10.000000,1
39,14.619310,10.000000,1
40,14.602476,10.000000,1
41,14.552050,10.000000,1
42,14.696235,10.000000,1
43,14.650477,10.000000,1
44,14.577864,10.000000,1
45,14.664031,10.000000,1
46,14.779496,10.000000,1
47,14.463271,10.000000,1
48,14.453790,10.000000,1
49,14.698995,10.000000,1
50,14.783532,10.000000,1
51,14.323900,10.000000,1
52,15.301610,10.000000,1
53,14.729940,10.000000,1
54,15.021145,10.000000,1
55,14.177732,10.000000,1
56,15.035756,10.000000,1
57,15.666612,10.000000,1
58,15.117924,10.000000,1
59,14.448401,10.000000,1
60,14.664902,10.000000,1
61,14.725902,10.000000,1
62,15.399685,10.000000,1
63,14.996923,10.000000,1
64,15.095849,10.000000,1
65,14.526031,10.000000,1
66,15.028145,10.000000,1
67,14.705644,10.000000,1
68,14.511383,10.000000,1
69,14.332900,10.000000,1
70,14.776995,10.000000,1
71,15.872632,10.000000,1
72,15.280499,10.000000,1
73,14.563050,10.000000,1
74,14.775162,10.000000,1
75,14.739477,10.000000,1
76,14.769699,10.000000,1
77,14.572569,10.000000,1
78,14.769180,10.000000,1
79,14.685346,10.000000,1
80,14.589235,10.000000,1
81,14.353085,10.000000,1
82,14.626809,10.000000,1
83,14.737903,10.000000,1
84,14.584031,10.000000,1
85,14.534383,10.000000,1
86,14.588809,10.000000,1
87,14.768069,10.000000,1
88,14.234362,10.000000,1
89,14.446049,10.000000,1
90,14.321326,10.000000,1
91,14.516142,10.000000,1
92,14.880459,10.000000,1
93,14.562291,10.000000,1
94,14.267418,10.000000,1
95,14.855495,10.000000,1
96,14.600864,10.000000,1
97,14.855829,10.000000,1
98,14.583883,10.000000,1
99,14.396308,10.000000,1
100,14.669420,10.000000,1
101,14.469827,10.000000,1
102,14.428808,10.000000,1
103,14.572143,10.000000,1
104,14.591791,10.000000,1
105,14.857570,10.000000,1
106,14.801292,10.000000,1
107,14.489698,10.000000,1
108,14.628495,10.000000,1
109,14.385938,10.000000,1
110,14.451456,10.000000,1
111,14.607198,10.000000,1
112,14.654457,10.000000,1
113,15.071479,10.000000,1
114,14.413049,10.000000,1
115,14.667384,10.000000,1
116,14.442587,10.000000,1
117,14.799495,10.000000,1
118,14.475883,10.000000,1
119,14.525698,10.000000,1
120,15.529315,10.000000,1
121,14.671994,10.000000,1
122,15.058738,10.000000,1
123,14.422419,10.000000,1
124,15.024293,10.000000,1
125,16.220189,10.000000,1
126,15.307388,10.000000,1
127,14.526346,10.000000,1
128,14.655495,10.000000,1
129,14.352160,10.000000,1
130,15.646926,10.000000,1
131,15.701075,10.000000,1
132,14.265326,10.000000,1
133,14.556402,10.000000,1
134,15.043886,10.000000,1
135,14.596253,10.000000,1
136,14.611346,10.000000,1
137,14.405604,10.000000,1
138,14.513253,10.000000,1
139,15.844946,10.000000,1
140,14.768421,10.000000,1
141,15.188238,10.000000,1
142,14.088584,10.000000,1
143,14.567068,10.000000,1
144,14.630327,10.000000,1
145,14.613179,10.000000,1
146,14.694180,10.000000,1
147,14.703125,10.000000,1
148,14.800792,10.000000,1
149,14.668587,10.000000,1
150,14.720458,10.000000,1
151,14.739106,10.000000,1
152,14.516679,10.000000,1
153,14.431049,10.000000,1
154,14.470272,10.000000,1
155,14.625884,10.000000,1
156,14.387919,10.000000,1
157,14.456401,10.000000,1
158,14.611143,10.000000,1
159,14.648309,10.000000,1
160,14.618291,10.000000,1
161,14.342363,10.000000,1
162,14.722884,10.000000,1
163,14.433975,10.000000,1
164,14.665588,10.000000,1
165,14.595532,10.000000,1
166,14.569717,10.000000,1
167,14.613031,10.000000,1
168,14.509882,10.000000,1
169,14.652661,10.000000,1
170,14.500105,10.000000,1
171,14.335382,10.000000,1
172,14.413678,10.000000,1
173,14.206177,10.000000,1
174,14.770329,10.000000,1
175,14.574809,10.000000,1
176,14.455197,10.000000,1
177,14.736736,10.000000,1
178,14.956904,10.000000,1
179,14.627032,10.000000,1
180,14.411752,10.000000,1
181,14.542920,10.000000,1
182,14.425883,10.000000,1
183,14.353159,10.000000,1
184,14.466679,10.000000,1
185,14.624143,10.000000,1
186,14.702180,10.000000,1
187,14.623864,10.000000,1
188,15.155683,10.000000,1
189,14.335011,10.000000,1
190,14.822532,10.000000,1
191,14.563346,10.000000,1
192,14.720181,10.000000,1
193,16.414302,10.000000,1
194,15.222369,10.000000,1
195,14.625273,10.000000,1
196,14.717496,10.000000,1
197,14.505994,10.000000,1
198,14.650605,10.000000,1
199,16.222597,10.000000,1
200,14.780403,10.000000,1
201,14.772700,10.000000,1
202,15.179294,10.000000,1
203,14.692032,10.000000,1
204,14.641550,10.000000,1
205,14.616828,10.000000,1
206,14.407141,10.000000,1
207,15.675019,10.000000,1
208,14.631309,10.000000,1
209,15.457592,10.000000,1
210,14.464401,10.000000,1
211,14.448160,10.000000,1
212,14.840199,10.000000,1
213,14.481549,10.000000,1
214,14.655346,10.000000,1
215,14.598976,10.000000,1
216,14.583013,10.000000,1
217,14.350123,10.000000,1
218,14.584643,10.000000,1
219,14.539198,10.000000,1
220,14.608902,10.000000,1
221,14.312623,10.000000,1
222,14.422141,10.000000,1
223,14.162103,10.000000,1
224,14.687218,10.000000,1
225,14.076473,10.000000,1
226,14.873422,10.000000,1
227,14.565142,10.000000,1
228,14.759681,10.000000,1
229,14.417530,10.000000,1
230,15.062960,10.000000,1
231,14.899662,10.000000,1
232,14.701347,10.000000,1
233,14.683680,10.000000,1
234,14.711550,10.000000,1
235,14.667161,10.000000,1
236,14.701013,10.000000,1
237,14.588513,10.000000,1
238,14.602013,10.000000,1
239,14.512846,10.000000,1
240,14.719643,10.000000,1
241,14.602550,10.000000,1
242,14.644235,10.000000,1
243,14.656162,10.000000,1
244,14.610143,10.000000,1
245,15.171220,10.000000,1
246,14.909200,10.000000,1
247,14.665568,10.000000,1
248,14.493661,10.000000,1
249,14.726440,10.000000,1
250,14.550439,10.000000,1
251,14.798292,10.000000,1
252,14.309641,10.000000,1
253,14.444790,10.000000,1
254,14.880996,10.000000,1
255,14.353733,10.000000,1
256,15.105942,10.000000,1
257,14.663772,10.000000,1
258,14.959200,10.000000,1
259,14.408474,10.000000,1
260,14.480790,10.000000,1
261,16.129336,10.000000,1
262,15.102812,10.000000,1
263,14.648865,10.000000,1
264,14.379993,10.000000,1
265,14.536291,10.000000,1
266,14.874089,10.000000,1
267,15.957336,10.000000,1
268,14.763865,10.000000,1
269,14.632347,10.000000,1
270,14.704032,10.000000,1
271,14.424012,10.000000,1
272,14.855014,10.000000,1
273,14.468438,10.000000,1
274,14.384511,10.000000,1
275,15.702704,10.000000,1
276,14.797607,10.000000,1
277,14.903237,10.000000,1
278,14.849848,10.000000,1
279,14.569235,10.000000,1
280,14.470919,10.000000,1
281,14.409789,10.000000,1
282,14.694329,10.000000,1
283,14.458235,10.000000,1
284,14.710884,10.000000,1
285,14.602291,10.000000,1
286,14.387882,10.000000,1
287,14.543068,10.000000,1
288,14.577309,10.000000,1
289,14.570254,10.000000,1
290,14.399697,10.000000,1
291,14.608199,10.000000,1
292,14.646494,10.000000,1
293,14.319419,10.000000,1
294,14.309641,10.000000,1
295,14.756199,10.000000,1
296,14.754587,10.000000,1
297,14.582790,10.000000,1
298,14.471660,10.000000,1
299,14.577976,10.000000,1
300,14.610235,10.000000,1
301,14.485771,10.000000,1
302,14.586309,10.000000,1
303,14.491734,10.000000,1
304,14.749069,10.000000,1
305,14.684236,10.000000,1
306,14.541234,10.000000,1
307,14.576735,10.000000,1
308,14.509734,10.000000,1
309,14.624069,10.000000,1
310,14.546142,10.000000,1
311,14.298733,10.000000,1
312,14.526883,10.000000,1
313,14.478864,10.000000,1
314,14.750644,10.000000,1
315,14.863126,10.000000,1
316,15.314351,10.000000,1
317,14.392586,10.000000,1
318,14.512549,10.000000,1
319,16.423654,10.000000,1
320,15.115460,10.000000,1
321,14.800218,10.000000,1
322,14.815069,10.000000,1
323,14.703532,10.000000,1
324,16.487542,10.000000,1
325,15.032256,10.000000,1
326,15.222201,10.000000,1
327,15.039257,10.000000,1
328,14.776902,10.000000,1
329,14.780903,10.000000,1
330,14.323845,10.000000,1
331,14.619994,10.000000,1
332,14.227362,10.000000,1
333,14.682161,10.000000,1
334,15.230591,10.000000,1
335,16.506728,10.000000,1
336,14.831348,10.000000,1
337,14.424308,10.000000,1
338,14.795977,10.000000,1
339,14.676514,10.000000,1
340,14.838588,10.000000,1
341,14.640235,10.000000,1
342,14.855977,10.000000,1
343,15.534685,10.000000,1
344,14.941256,10.000000,1
345,15.049256,10.000000,1
346,14.792180,10.000000,1
347,14.678143,10.000000,1
348,14.939904,10.000000,1
349,14.637346,10.000000,1
350,14.517494,10.000000,1
