frame,processing_ms,deadline_ms,deadline_missed
0,5.419318,10.000000,0
1,5.294671,10.000000,0
2,5.260374,10.000000,0
3,5.237005,10.000000,0
4,5.413392,10.000000,0
5,5.376652,10.000000,0
6,5.256097,10.000000,0
7,5.381559,10.000000,0
8,5.452540,10.000000,0
9,5.308930,10.000000,0
10,5.450633,10.000000,0
11,5.299263,10.000000,0
12,5.342096,10.000000,0
13,5.341522,10.000000,0
14,5.375467,10.000000,0
15,5.321671,10.000000,0
16,5.367189,10.000000,0
17,5.567928,10.000000,0
18,6.483700,10.000000,0
19,5.358504,10.000000,0
20,5.336578,10.000000,0
21,5.320856,10.000000,0
22,5.244523,10.000000,0
23,5.387522,10.000000,0
24,5.432244,10.000000,0
25,5.335467,10.000000,0
26,5.315967,10.000000,0
27,5.359097,10.000000,0
28,5.364207,10.000000,0
29,5.203875,10.000000,0
30,5.380059,10.000000,0
31,5.512354,10.000000,0
32,5.554540,10.000000,0
33,5.216949,10.000000,0
34,5.299986,10.000000,0
35,5.436244,10.000000,0
36,5.258986,10.000000,0
37,5.338467,10.000000,0
38,5.358485,10.000000,0
39,5.368781,10.000000,0
40,5.392707,10.000000,0
41,5.401800,10.000000,0
42,5.397299,10.000000,0
43,5.377059,10.000000,0
44,5.369207,10.000000,0
45,5.435948,10.000000,0
46,5.325523,10.000000,0
47,5.368522,10.000000,0
48,5.446336,10.000000,0
49,5.290912,10.000000,0
50,5.437077,10.000000,0
51,5.229616,10.000000,0
52,5.348967,10.000000,0
53,5.284171,10.000000,0
54,5.335949,10.000000,0
55,5.551540,10.000000,0
56,7.538213,10.000000,0
57,5.688372,10.000000,0
58,5.819593,10.000000,0
59,5.401615,10.000000,0
60,5.337893,10.000000,0
61,5.405170,10.000000,0
62,5.649039,10.000000,0
63,5.425226,10.000000,0
64,5.352504,10.000000,0
65,5.339004,10.000000,0
66,5.270837,10.000000,0
67,5.379818,10.000000,0
68,5.447985,10.000000,0
69,5.219042,10.000000,0
70,5.438318,10.000000,0
71,5.702706,10.000000,0
72,5.639392,10.000000,0
73,5.400188,10.000000,0
74,5.979574,10.000000,0
75,5.288579,10.000000,0
76,5.509133,10.000000,0
77,5.340986,10.000000,0
78,5.311153,10.000000,0
79,5.669391,10.000000,0
80,5.352855,10.000000,0
81,5.476670,10.000000,0
82,5.943630,10.000000,0
83,5.375374,10.000000,0
84,5.375022,10.000000,0
85,5.377893,10.000000,0
86,5.324282,10.000000,0
87,5.363522,10.000000,0
88,5.372930,10.000000,0
89,5.298838,10.000000,0
90,5.473855,10.000000,0
91,5.399781,10.000000,0
92,5.420077,10.000000,0
93,5.574687,10.000000,0
94,5.483707,10.000000,0
95,5.355485,10.000000,0
96,5.326467,10.000000,0
97,5.315948,10.000000,0
98,5.390763,10.000000,0
99,5.432097,10.000000,0
100,5.904279,10.000000,0
101,5.276801,10.000000,0
102,5.359782,10.000000,0
103,5.210134,10.000000,0
104,5.415541,10.000000,0
105,5.249782,10.000000,0
106,5.288004,10.000000,0
107,5.418893,10.000000,0
108,5.270412,10.000000,0
109,5.440855,10.000000,0
110,5.535725,10.000000,0
111,5.295245,10.000000,0
112,5.367023,10.000000,0
113,5.442429,10.000000,0
114,5.329208,10.000000,0
115,5.471596,10.000000,0
116,5.367504,10.000000,0
117,5.312690,10.000000,0
118,5.316596,10.000000,0
119,5.377634,10.000000,0
120,5.305060,10.000000,0
121,5.441874,10.000000,0
122,5.305189,10.000000,0
123,5.416596,10.000000,0
124,5.681353,10.000000,0
125,5.292301,10.000000,0
126,5.356652,10.000000,0
127,5.313893,10.000000,0
128,5.261060,10.000000,0
129,5.373300,10.000000,0
130,5.520762,10.000000,0
131,5.280356,10.000000,0
132,5.390781,10.000000,0
133,5.332022,10.000000,0
134,5.356726,10.000000,0
135,6.933105,10.000000,0
